Index,x[m],Actual,order-10,order-50
0,0.0,6.162241487537459,,
1,0.005,6.707918006579212,,
2,0.01,7.181342073056449,,
3,0.015,7.575659690297782,,
4,0.02,7.8892766077979,,
5,0.025,8.123547701753907,,
6,0.03,8.28150747806966,,
7,0.035,8.367239756267349,,
8,0.04,8.385630566657957,,
9,0.045,8.342350155217064,,
10,0.05,8.243967804494002,8.21388441694041,
11,0.055,8.09812786100969,8.091275102481347,
12,0.06,7.913716040115486,7.9269148286802364,
13,0.065,7.700929466629674,7.729910111721665,
14,0.07,7.471142784846091,7.510871604657352,
15,0.075,7.236454999351657,7.281580754413162,
16,0.08,7.008835461289369,7.0543035609150735,
17,0.085,6.798888130533412,6.8406792063415445,
18,0.09,6.61441623189702,6.650254663357773,
19,0.095,6.459131654463341,6.488938367322776,
20,0.1,6.331906015256809,6.357809391727132,
21,0.105,6.226826160725778,6.252708193558113,
22,0.11,6.134039158151285,6.1647923353335585,
23,0.115,6.041106345077923,6.081877898874016,
24,0.12,5.934479918355535,5.990125465018572,
25,0.125,5.800795738867569,5.8756121339820355,
26,0.13,5.627858103489434,5.725518120821553,
27,0.135,5.405373916887281,5.528901269066821,
28,0.14,5.12562571718869,5.277222678031336,
29,0.145,4.784363024489821,4.964900428363074,
30,0.15,4.382267157569188,4.590241914624758,
31,0.155,3.92740224526017,4.157172382429989,
32,0.16,3.438988199805113,3.6782142505675837,
33,0.165,2.952246286698566,3.1790022378735365,
34,0.17,2.522255525155041,2.703730544654483,
35,0.175,2.2213969407489365,2.3184103850444466,
36,0.18,2.1230763637005703,2.1045814552552606,
37,0.185,2.272273969318714,2.135115610255339,
38,0.19,2.661621103241524,2.4372258800665643,
39,0.195,3.2352525119595965,2.9717969877222252,
40,0.2,3.916486771578328,3.653252268375641,
41,0.205,4.634924489360576,4.391099783286773,
42,0.21,5.338709934971451,5.117235486914435,
43,0.215,5.99465713725245,5.790337502791241,
44,0.22,6.583618239001201,6.389376477238619,
45,0.225,7.095612661084404,6.90631220239257,
46,0.23,7.526186892105263,7.340764850737598,
47,0.235,7.874055747129366,7.695934320679855,
48,0.24,8.139695472534905,7.975296566036764,
49,0.245,8.324568593903898,8.180907634250346,
50,0.25,8.430758414834651,8.313616103656395,8.356572510048004
51,0.255,8.460881979628745,8.374103194202043,8.389755543427
52,0.26,8.418216450272064,8.363728241377299,8.348975674788305
