pred_wave,order,pred_point,RMSE_dB
0,10,1,0.44892354629076453
0,50,1,0.44153826970868204
1,10,1,0.8890896338220099
1,50,1,0.8697382378490518
2,10,1,0.9676035900450869
2,50,1,0.9445163743715106
0,10,3,1.4047198872243642
0,50,3,1.3295775699874506
1,10,3,2.121445233617785
1,50,3,1.9794586164981665
2,10,3,2.5491437789589124
2,50,3,2.3655558252502966
0,10,5,2.2254021584780643
0,50,5,2.032114562574871
1,10,5,3.075988110375253
1,50,5,2.753030905873542
2,10,5,3.69151380379959
2,50,5,3.2687134389100283
