Index,x[m],Actual,order-10,order-50
0,0.0,7.230659929672027,,
1,0.005,7.291669842780152,,
2,0.01,7.3626474004184175,,
3,0.015,7.429157977083213,,
4,0.02,7.47549568412493,,
5,0.025,7.485880381095523,,
6,0.03,7.445125235564493,,
7,0.035,7.338809580466647,,
8,0.04,7.1530804367385645,,
9,0.045,6.874222344275208,,
10,0.05,6.488128502973419,6.669650994689919,
11,0.055,5.979834063798233,6.224895083401971,
12,0.06,5.333421080468742,5.65230439236405,
13,0.065,4.533070904496214,4.935682576141302,
14,0.07,3.5673379441592457,4.05946603176843,
15,0.075,2.442094615052866,3.014895503245469,
16,0.08,1.2148610167398464,1.8179588844962136,
17,0.085,0.0679001007554297,0.5559436982178649,
18,0.09,-0.6208030720912643,-0.5174630082742819,
19,0.095,-0.4501875032864488,-0.9131445696682245,
20,0.1,0.5527829234512759,-0.2200304199195875,
21,0.105,1.969016551487688,1.2860000151890603,
22,0.11,3.43764912109749,2.959695675369959,
23,0.115,4.791630294157136,4.465977561298658,
24,0.12,5.97959021948577,5.738808200886936,
25,0.125,6.99659382606722,6.791754309871102,
26,0.13,7.8525613027757,7.648957157662203,
27,0.135,8.560391297983402,8.331603827278322,
28,0.14,9.131936188815322,8.866369021314906,
29,0.145,9.576848133281276,9.291957767729496,
30,0.15,9.902411877482244,9.632652660103751,
31,0.155,10.113671160056748,9.884692180407107,
32,0.16,10.21359760712075,10.037617442575336,
33,0.165,10.20321420904022,10.085419518925063,
34,0.17,10.08164560289341,10.024989576458495,
35,0.175,9.846090809224613,9.853464736824215,
36,0.18,9.49172899921649,9.566836752608268,
37,0.185,9.011594450942988,9.159302064124805,
38,0.19,8.39652201351274,8.622933599004668,
39,0.195,7.635436568467756,7.947606628122887,
40,0.2,6.716713512935248,7.121471531137951,
41,0.205,5.632521855435872,6.132929870313023,
42,0.21,4.391017811117246,4.9766898197704,
43,0.215,3.047349808827746,3.670448832213014,
44,0.22,1.7679455355733165,2.2966235653380567,
45,0.225,0.8948542725159954,1.0855048576539468,
46,0.23,0.8099699789274741,0.4789881988281772,
47,0.235,1.534466819197786,0.8790412105705263,
48,0.24,2.700887876128869,2.0966316869218296,
49,0.245,3.952880605043092,3.539905405234886,
50,0.25,5.110083800143304,4.852452748301131,4.935646769444976
51,0.255,6.110433508153049,5.945237986225959,6.011452969873639
52,0.26,6.943024115057654,6.821847667918226,6.880581128563964
53,0.265,7.614759223055465,7.50294276014366,7.567224038196801
54,0.27,8.137135983194327,8.008556468519714,8.094906464179246
55,0.275,8.521573481634741,8.363478366745333,8.481546127119577
56,0.28,8.778045831117801,8.603753198996937,8.739843671349151
57,0.285,8.914975140954823,8.75538471035689,8.87971473657984
58,0.29,8.939643493410092,8.819099910972996,8.90893174441697
59,0.295,8.858903924571544,8.788139916470943,8.832775646630699
60,0.3,8.680196821612505,8.660996673477324,8.656362758737284
61,0.305,8.412995275881766,8.4420403965937,8.388620541652156
62,0.31,8.070858252935771,8.140733202482089,8.043075630896567
63,0.315,7.674212410362755,7.772650319365028,7.6376420765598425
64,0.32,7.253632636771906,7.362087870331184,7.198393821466068
65,0.325,6.852440923899695,6.945377703783572,6.762623461981376
66,0.33,6.525790595841022,6.57296694230304,6.378600042846395
67,0.335,6.332264142440045,6.3063987224461,6.108168439328503
68,0.34,6.316838907583255,6.205553491021707,6.017214440786807
69,0.345,6.492651939550271,6.306645897414264,6.145127172141129
70,0.35,6.83502760328399,6.603344582614637,6.481881406502897
71,0.355,7.292984291980381,7.047922236639645,6.974477140154736
72,0.36,7.808522527967806,7.572940707147062,7.551425184616461
73,0.365,8.331072063211236,8.11531523466127,8.143637245106817
74,0.37,8.822983166765535,8.628428694052307,8.695307215743775
75,0.375,9.258863659217354,9.0828380953736,9.172660152783589
76,0.38,9.622582522046091,9.462199514680353,9.563021287503535
77,0.385,9.904165419489216,9.758765394967703,9.86168431662534
78,0.39,10.09735695740748,9.969608478068803,10.06535988807779
79,0.395,10.197913971147978,10.093537514838268,10.172300412372085
80,0.4,10.202469944669934,10.128950192710537,10.182267238630253
81,0.405,10.107793699043588,10.072961422243935,10.095613419296118
82,0.41,9.910312033690836,9.921495340847809,9.911507422306999
83,0.415,9.605825464384306,9.669639286902916,9.627570428284713
84,0.42,9.189413299755014,9.311865704967921,9.241049512691824
85,0.425,8.655618789087312,8.842166015682018,8.74858290540603
86,0.43,7.999174181037723,8.254374712372487,8.145216251091384
87,0.435,7.216865078706659,7.543139665481382,7.426265184695212
88,0.44,6.311817133029423,6.706375341826538,6.592060124589517
89,0.445,5.30270694041146,5.7508815652824845,5.652675210839405
90,0.45,4.24167189935226,4.704317600182492,4.636755100547035
91,0.455,3.2417333887457223,3.6380090918023664,3.61357812415814
92,0.46,2.493427011166346,2.69965235955307,2.7248788107350856
93,0.465,2.208140143050243,2.1234315224254594,2.1926250215693397
94,0.47,2.465718283684752,2.1309622179389103,2.226739706504181
95,0.475,3.1372460123189456,2.724228618124438,2.829360757883478
96,0.48,4.003408182021262,3.6521168288920656,3.758805350847254
97,0.485,4.890742084419626,4.639816253474335,4.748327821592805
98,0.49,5.702799992753279,5.5351089257361,5.649280925801471
99,0.495,6.39649888620228,6.28277857569914,6.407973276536451
100,0.5,6.9564632910576645,6.870919754040954,7.0136328297397
101,0.505,7.379602255582824,7.303186433723677,7.470012678109339
102,0.51,7.667390935080869,7.590557708074762,7.784127812073351
103,0.515,7.822297079674292,7.749539779045854,7.962353638533202
104,0.52,7.8462192529364145,7.794798766852196,8.009225953552283
105,0.525,7.739897623901576,7.730071669712428,7.9272785685969405
106,0.53,7.502870312007683,7.550088005744737,7.7173064574576
107,0.535,7.133910609269455,7.24769214365317,7.378854492468182
108,0.54,6.63219366191946,6.817408452625996,6.911101887528943
109,0.545,5.99987930104615,6.256761996793923,6.314609207414826
110,0.55,5.247539512086645,5.568849882687464,5.594785774356824
111,0.555,4.404920490502898,4.768824630631471,4.768747101179127
112,0.56,3.539698724516454,3.897381974104886,3.8785298783259536
113,0.5650000000000001,2.780363219546509,3.0438701953137874,3.013663393587845
114,0.5700000000000001,2.3147056700121875,2.3712856250405108,2.3358571403359734
115,0.5750000000000001,2.3112599139544288,2.100434912944243,2.063432601815014
116,0.58,2.7902631443299626,2.3869633057176687,2.3505089416391773
117,0.585,3.605568523801826,3.1637407512964733,3.1324466890194715
118,0.59,4.565000473100472,4.186620930225725,4.169725569837629
119,0.595,5.527226602596676,5.233164148128537,5.241470731223371
120,0.6,6.415234769070785,6.18694636563573,6.228296302855169
121,0.605,7.195024889495308,7.006109376631407,7.082940373755644
122,0.61,7.855287088376616,7.68258966708401,7.793158909320668
123,0.615,8.395251822168095,8.221998010178481,8.362915336987538
124,0.62,8.818527817173567,8.63762442005215,8.801791685627222
125,0.625,9.13024242109432,8.94729032375276,9.119226099764134
126,0.63,9.335852769277285,9.165478471450225,9.323379672372635
127,0.635,9.440803300403651,9.297739553380916,9.421744499383195
128,0.64,9.450654355708409,9.344328058912282,9.421658275838457
129,0.645,9.371539093392316,9.305832779265323,9.330460902001377
130,0.65,9.210926438345858,9.185546457573427,9.15599961463152
131,0.655,8.978723680180314,8.990048291122545,8.907968429069857
132,0.66,8.688743871451907,8.729844643520574,8.599378076444923
133,0.665,8.360444098733788,8.420596413842281,8.247842728850973
134,0.67,8.020523172835784,8.084759258466963,7.877500362219312
135,0.675,7.703391251992423,7.752957900671649,7.521444093072592
136,0.68,7.448895192655791,7.463719220567107,7.221822634385422
137,0.685,7.295829399459288,7.259561575586202,7.024221775574957
138,0.6900000000000001,7.271872010609343,7.178051120940605,6.966444619035425
139,0.6950000000000001,7.384266448365098,7.23968521582491,7.065747712831607
140,0.7000000000000001,7.617099807524696,7.439042263127354,7.3109557776207215
141,0.705,7.937129890706637,7.745930087365771,7.665467435506713
142,0.71,8.304106057957089,8.116261424041253,8.079699064658652
143,0.715,8.67975845736044,8.505174450688338,8.504551619839475
144,0.72,9.03256896820351,8.875518611079832,8.90094401633648
145,0.725,9.338774185741062,9.200401024800094,9.242880651409443
146,0.73,9.581300944829277,9.462066342686052,9.514235478139172
147,0.735,9.748039209326643,9.649469635138562,9.704667773476201
148,0.74,9.830192325627564,9.75574378953392,9.807442458166612
149,0.745,9.820968333146697,9.77601309535191,9.81817322513169
150,0.75,9.714650522656903,9.705825973760707,9.733676472477557
151,0.755,9.506025071965723,9.540368654343279,9.550924137547526
152,0.76,9.190177365646182,9.274367217879332,9.266631476151385
153,0.765,8.762775065869533,8.902463769342374,8.87756339612238
154,0.77,8.221163583579582,8.420049751884283,8.381088458278674
155,0.775,7.566986709257845,7.824954294667103,7.776492712075223
156,0.78,6.811710462912394,7.120961064166072,7.068693090615914
157,0.785,5.987241668762967,6.32495939856722,6.275808052037225
158,0.79,5.163318365918101,5.48040824821479,5.442058043193336
159,0.795,4.465897385986237,4.678484482480547,4.657466905108153
160,0.8,4.068413747145734,4.076832315144772,4.075694736690166
161,0.805,4.11462852635077,3.8749691482978337,3.890178380212494
162,0.81,4.610177465763401,4.197744514092637,4.221214918350085
163,0.8150000000000001,5.417712462364768,4.9692721992744096,4.9944739408656424
164,0.8200000000000001,6.362730672290953,5.967560335308338,5.994115572537943
165,0.8250000000000001,7.315474811413676,6.993071975149859,7.025388272962953
166,0.8300000000000001,8.203086073511765,7.9379586897217,7.981923573859385
167,0.835,8.991783181204646,8.760618697121567,8.822001766233067
168,0.84,9.669025926268052,9.451091890259894,9.535052242044141
